,unique_id,speech_type,link
58,273396,Interview,https://www.vie-publique.fr/discours/273396-amelie-de-montchalin-12022020-poltique-gouvernementale
59,273448,Interview,https://www.vie-publique.fr/discours/273448-brune-poirson-12022020-conseil-defense-ecologique-democratie
60,273491,Déclaration,https://www.vie-publique.fr/discours/273491-frederique-vidal-12022020-roman-des-etudiants-france-culture-telerama
61,273447,Interview,https://www.vie-publique.fr/discours/273447-marc-fesneau-12022020-deuil-parental-president-et-sa-majorite-retraites
62,273445,Déclaration,https://www.vie-publique.fr/discours/273445-elisabeth-borne-12022020-4-e-conseil-de-defense-ecologique
63,273446,Interview,https://www.vie-publique.fr/discours/273446-elisabeth-borne-12022020-conseil-defense-ecologique-biodiversite-climat
64,273525,Déclaration,https://www.vie-publique.fr/discours/273525-bruno-le-maire-12022020-apprentissage
65,273494,Déclaration,https://www.vie-publique.fr/discours/273494-edouard-philippe-12022020-ilan-halimi-racisme-antisemitisme
66,273331,Interview,https://www.vie-publique.fr/discours/273331-sophie-cluzel-11022020-citoyennete-des-personnes-handicapees
67,273334,Interview,https://www.vie-publique.fr/discours/273334-julien-denormandie-11022020-politique-du-logement
68,273529,Déclaration,https://www.vie-publique.fr/discours/273529-jean-yves-le-drian-11022020-rayonnement-culturel
69,273380,Déclaration,https://www.vie-publique.fr/discours/273380-emmanuel-macron-11022020-personnes-handicapees
70,273335,Déclaration,https://www.vie-publique.fr/discours/273335-jean-yves-le-drian-11022020-brexit
71,273432,Déclaration,https://www.vie-publique.fr/discours/273432-elisabeth-borne-11022020-plan-actions-lubrizol
72,273395,Déclaration,https://www.vie-publique.fr/discours/273395-amelie-de-montchalin-11022020-union-europeenne
73,273333,Interview,https://www.vie-publique.fr/discours/273333-christophe-castaner-11022020-politique-gouvernementale
74,273384,Interview,https://www.vie-publique.fr/discours/273384-gabriel-attal-10022020-affaire-mila-climat-actuel-politique
75,273325,Interview,https://www.vie-publique.fr/discours/273325-sophie-cluzel-10022020-droits-des-personnes-handicapees
76,273309,Interview,https://www.vie-publique.fr/discours/273309-didier-guillaume-10022020-politique-agricole
77,273324,Interview,https://www.vie-publique.fr/discours/273324-franck-riester-7022020-elections-municipales-presstalis
78,273355,Déclaration,https://www.vie-publique.fr/discours/273355-bruno-le-maire-07022020-innovation
79,273293,Interview,https://www.vie-publique.fr/discours/273293-julien-denormandie-07022020-politique-gouvernementale
80,273360,Déclarations,https://www.vie-publique.fr/discours/273360-bruno-le-maire-07022020-politique-economique-de-lue
81,273308,Déclaration,https://www.vie-publique.fr/discours/273308-christophe-castaner-07022020-police
82,273413,Déclaration,https://www.vie-publique.fr/discours/273413-jean-yves-le-drian-07022020-brexit
83,273259,Déclaration,https://www.vie-publique.fr/discours/273259-nicole-belloubet-07022020-politique-judiciaire
84,273260,Interview,https://www.vie-publique.fr/discours/273260-cedric-o-07022020-internet
85,273267,Interview,https://www.vie-publique.fr/discours/273267-jean-baptiste-djebbari-07022020-mobilisation-contre-reforme-retraites
86,273257,Déclaration,https://www.vie-publique.fr/discours/273257-emmanuel-macron-07022020-politique-de-defense
87,273373,Interview,https://www.vie-publique.fr/discours/273373-emmanuelle-wargon-06022020-engie-isabelle-kocher
88,273242,Interview,https://www.vie-publique.fr/discours/273242-marlene-schiappa-6022020-violences-sexuelles-patinage-artistique
89,273269,Interview,https://www.vie-publique.fr/discours/273269-marc-fesneau-06022020-mobilisation-contre-retraites-abattage-loups
90,273292,Déclaration,https://www.vie-publique.fr/discours/273292-bruno-le-maire-06022020-politique-economique
91,273227,Interview,https://www.vie-publique.fr/discours/273227-sibeth-ndiaye-06022020-conge-parental-deuil-enfant-reforme-retraites
92,273249,Interview,https://www.vie-publique.fr/discours/273249-nicole-belloubet-06022020-avocat
93,273339,Interview,https://www.vie-publique.fr/discours/273339-adrien-taquet-6022020-polemique-conge-pour-deuil-parental
94,273458,Déclaration,https://www.vie-publique.fr/discours/273458-agnes-buzyn-6022020-reponses-aux-personnels-hospitaliers-en-greve
95,273256,Déclaration,https://www.vie-publique.fr/discours/273256-jean-yves-le-drian-06022020-energies-renouvelables
96,273485,Déclaration,https://www.vie-publique.fr/discours/273485-adrien-taquet-6022020-privatisation-dadp-referendum
97,273254,Déclaration,https://www.vie-publique.fr/discours/273254-jean-yves-le-drian-06022020-union-europeenne
98,273239,Interview,https://www.vie-publique.fr/discours/273239-roxana-maracineanu-6022020-violences-sexuelles-patinage-artistique
99,273354,Déclaration,https://www.vie-publique.fr/discours/273354-agnes-pannier-runacher-06022020-fiscalite
100,273224,Interview,https://www.vie-publique.fr/discours/273224-laurent-nunez-05022020-delinquance
101,273234,Interview,https://www.vie-publique.fr/discours/273234-roxana-maracineanu-5022020-appel-la-demission-de-didier-gailhaguet
102,273462,Déclaration,https://www.vie-publique.fr/discours/273462-agnes-buzyn-5022020-projet-de-loi-de-la-reforme-des-retraites
103,273220,Déclaration,https://www.vie-publique.fr/discours/273220-emmanuel-macron-05022020-france-argentine
104,273217,Interview,https://www.vie-publique.fr/discours/273217-julien-denormandie-05022020-politique-gouvernementale
105,273291,Déclaration,https://www.vie-publique.fr/discours/273291-bruno-le-maire-05022020-egalite-professionnelle
106,273285,Déclaration,https://www.vie-publique.fr/discours/273285-julien-denormandie-05022020-logement-social
107,273225,Interview,https://www.vie-publique.fr/discours/273225-cedric-o-05022020-economie-numerique
108,273288,Déclaration,https://www.vie-publique.fr/discours/273288-jean-baptiste-lemoyne-05022020-aide-au-developpement
109,273279,Déclaration,https://www.vie-publique.fr/discours/273279-didier-guillaume-04022020-peche-maritime
110,273183,Interview,https://www.vie-publique.fr/discours/273183-jean-baptiste-djebbari-04022020-prime-sncf-reforme-retraites-islam
111,273463,Déclaration,https://www.vie-publique.fr/discours/273463-agnes-buzyn-4022020-financement-du-systeme-de-retraite
112,273276,Déclaration,https://www.vie-publique.fr/discours/273276-genevieve-darrieussecq-04022020-francais-letranger
113,273201,Interview,https://www.vie-publique.fr/discours/273201-gabriel-attal-4022020-conge-de-deuil-pour-un-enfant
114,273281,Extraits,https://www.vie-publique.fr/discours/273281-entretien-amelie-de-montchalin-04022020-brexit
115,273489,Déclaration,https://www.vie-publique.fr/discours/273489-frederique-vidal-4022020-lppr
116,273202,Interview,https://www.vie-publique.fr/discours/273202-frederique-vidal-4022020-loi-de-programmation-sur-la-recherche
117,273232,Interview,https://www.vie-publique.fr/discours/273232-roxana-maracineanu-4022020-violences-didier-gailhaguet-demission
118,273272,Déclaration,https://www.vie-publique.fr/discours/273272-brune-poirson-04022020-politique-maritime-protection-biodiversite-marine
119,273280,Déclaration,https://www.vie-publique.fr/discours/273280-laurent-nunez-04022020-brexit
120,273207,Déclaration,https://www.vie-publique.fr/discours/273207-emmanuel-macron-04022020-france-pologne
121,273206,Déclaration,https://www.vie-publique.fr/discours/273206-emmanuel-macron-03022020-france-pologne
122,273228,Interview,https://www.vie-publique.fr/discours/273228-marc-fesneau-03022020-conge-parental-strategie-lrem-municipales-2020
123,273204,Entretien,https://www.vie-publique.fr/discours/273204-entretien-jean-yves-le-drian-03022020-politique-etrangere
124,273199,Déclaration,https://www.vie-publique.fr/discours/273199-emmanuel-macron-03022020-france-pologne
125,273205,Conférence,https://www.vie-publique.fr/discours/273205-amelie-de-montchalin-03022020-union-europeenne
