,unique_id,speech_type,link
0,272458,Déclaration,https://www.vie-publique.fr/discours/272458-brune-poirson-3122019-consequences-du-rechauffement-climatique
1,272635,Déclaration,https://www.vie-publique.fr/discours/272635-jean-michel-blanquer-3122019-nouvelles-modalites-du-regime-de-retraite
2,272488,Déclarations,https://www.vie-publique.fr/discours/272488-bruno-le-maire-03122019-egalite-entre-les-femmes-et-les-hommes
3,272186,Extraits,https://www.vie-publique.fr/discours/272186-entretien-jean-baptiste-lemoyne-02122019-politique-etrangere
4,272235,Interview,https://www.vie-publique.fr/discours/272235-jean-michel-blanquer-2122019-reforme-des-retraites-enseignants
5,272165,Déclaration,https://www.vie-publique.fr/discours/272165-emmanuel-macron-02122019-france-mali
6,272163,Déclaration,https://www.vie-publique.fr/discours/272163-bruno-le-maire-02122019-industrie-automobile
7,272162,Interview,https://www.vie-publique.fr/discours/272162-bruno-le-maire-02122019-retraite
8,272161,Interview,https://www.vie-publique.fr/discours/272161-julien-denormandie-02122019-retraite
9,272152,Déclaration,https://www.vie-publique.fr/discours/272152-ministere-de-leurope-et-des-affaires-etrangeres-30112019-iran
10,272487,Déclaration,https://www.vie-publique.fr/discours/272487-jean-yves-le-drian-29112019-politique-etrangere
11,272309,Interview,https://www.vie-publique.fr/discours/272309-franck-riester-29112019-futur-projet-de-loi-de-laudiovisuel
12,272380,Interview,https://www.vie-publique.fr/discours/272380-jean-paul-delevoye-29112019-propositions-pour-la-reforme-des-retraites
13,272147,Déclaration,https://www.vie-publique.fr/discours/272147-bruno-le-maire-29112019-climat
14,272127,Interview,https://www.vie-publique.fr/discours/272127-agnes-pannier-runacher-29112019-politique-economique
15,272123,Interview,https://www.vie-publique.fr/discours/272123-olivier-dussopt-28112019-retraite
16,272300,Déclaration,https://www.vie-publique.fr/discours/272300-agnes-buzyn-28112019-ma-sante-2022-cybersecurite
17,272457,Interview,https://www.vie-publique.fr/discours/272457-brune-poirson-28112019-black-friday-elections-municipales-avignon
18,272437,Interview,https://www.vie-publique.fr/discours/272437-elisabeth-borne-28112019-banques-transition-ecologique-retraites
19,272125,Déclaration,https://www.vie-publique.fr/discours/272125-emmanuel-macron-28112019-otan
20,272144,Déclaration,https://www.vie-publique.fr/discours/272144-annick-girardin-28112019-guyane
21,272143,Déclaration,https://www.vie-publique.fr/discours/272143-christophe-castaner-28112019-islamisme
22,272126,Interview,https://www.vie-publique.fr/discours/272126-laurent-nunez-28112019-islamisme
23,272906,Déclaration,https://www.vie-publique.fr/discours/272906-sophie-cluzel-28112019-etablissements-non-lucratifs-systeme-de-sante
24,272184,Déclaration,https://www.vie-publique.fr/discours/272184-nicole-belloubet-28112019-justice-des-mineurs
25,272382,Interview,https://www.vie-publique.fr/discours/272382-marlene-schiappa-26112019-levee-du-secret-medical-violence-conjugale
26,272240,Déclaration,https://www.vie-publique.fr/discours/272240-genevieve-darrieussecq-27112019-france-mali
27,272254,Interview,https://www.vie-publique.fr/discours/272254-sibeth-ndiaye-27112019-deces-militaires-mali-appel-greve-retraites
28,272257,Déclaration,https://www.vie-publique.fr/discours/272257-edouard-philippe-27112019-reforme-des-regimes-de-retraite
29,272100,Interview,https://www.vie-publique.fr/discours/272100-didier-guillaume-27112019-politique-agricole
30,272259,Déclaration,https://www.vie-publique.fr/discours/272259-edouard-philippe-27112019-intervention-au-mali-deces-militaires
31,272138,Déclaration,https://www.vie-publique.fr/discours/272138-florence-parly-26112019-france-mali
32,272433,Déclaration,https://www.vie-publique.fr/discours/272433-frederique-vidal-3122019-cnrs-hommage-thomas-ebbesen
33,272134,Déclaration,https://www.vie-publique.fr/discours/272134-jean-yves-le-drian-26112019-tourisme
34,272133,Déclaration,https://www.vie-publique.fr/discours/272133-jean-yves-le-drian-26112019-ue-pays-mediterraneens
35,272113,Déclaration,https://www.vie-publique.fr/discours/272113-jean-yves-le-drian-26112019-france-mali
36,272112,Déclaration,https://www.vie-publique.fr/discours/272112-emmanuel-macron-26112019-cnrs
37,272139,Déclaration,https://www.vie-publique.fr/discours/272139-florence-parly-26112019-france-mali
38,272456,Interview,https://www.vie-publique.fr/discours/272456-brune-poirson-26112019-realite-sociale-black-friday
39,272258,Déclaration,https://www.vie-publique.fr/discours/272258-edouard-philippe-26112019-intervention-france-mali
40,272256,Déclaration,https://www.vie-publique.fr/discours/272256-sibeth-ndiaye-26112019-situation-hong-kong
41,272632,Déclaration,https://www.vie-publique.fr/discours/272632-jean-michel-blanquer-16112019-impact-du-numerique-sur-lecole
42,272597,Déclaration,https://www.vie-publique.fr/discours/272597-nicole-belloubet-26112019-reinsertion-des-personnes-detenues
43,272099,Entretien,https://www.vie-publique.fr/discours/272099-entretien-jean-yves-le-drian-26112019-politique-etrangere
44,272096,Interview,https://www.vie-publique.fr/discours/272096-nicole-belloubet-26112019-politique-judiciaire
45,272098,Déclaration,https://www.vie-publique.fr/discours/272098-edouard-philippe-25112019-cloture-grenelle-contre-violences-conjugales
46,272436,Interview,https://www.vie-publique.fr/discours/272436-elisabeth-borne-25112019-intemperies-sud-est-reforme-des-retraites
47,272447,Interview,https://www.vie-publique.fr/discours/272447-jean-baptiste-djebbari-25112019-organisation-transports-en-greve
48,272638,Interview,https://www.vie-publique.fr/discours/272638-emmanuelle-wargon-25112019-cop25-retraite-economie-circulaire-chasse
49,272066,Déclaration,https://www.vie-publique.fr/discours/272066-jean-baptiste-lemoyne-25112019-aide-au-developpement
50,272068,Interview,https://www.vie-publique.fr/discours/272068-agnes-pannier-runacher-25112019-5g
51,272381,Interview,https://www.vie-publique.fr/discours/272381-marlene-schiappa-25112019-conclusion-grenelle-des-violences-conjugales
52,272252,Interview,https://www.vie-publique.fr/discours/272252-sibeth-ndiaye-22112019-situation-sociale-appel-greve-reforme-retraites
53,272164,Interview,https://www.vie-publique.fr/discours/272164-jean-michel-blanquer-22112019-bac-pauvrete-reforme-des-retraites
54,272446,Interview,https://www.vie-publique.fr/discours/272446-jean-baptiste-djebbari-22112019-concertation-reforme-des-retraites
55,272063,Interview,https://www.vie-publique.fr/discours/272063-gerald-darmanin-22112019-politique-gouvernementale
56,272013,Déclaration,https://www.vie-publique.fr/discours/272013-nicole-belloubet-21112019-plan-de-lutte-contre-la-radicalisation
57,272059,Déclaration,https://www.vie-publique.fr/discours/272059-jean-baptiste-lemoyne-21112019-commerce-international
58,272015,Déclaration,https://www.vie-publique.fr/discours/272015-gerald-darmanin-21112019-budget-2020
59,272016,Déclaration,https://www.vie-publique.fr/discours/272016-bruno-le-maire-21112019-budget-2020
60,272017,Déclaration,https://www.vie-publique.fr/discours/272017-bruno-le-maire-21112019-politique-gouvernementale
61,272006,Interview,https://www.vie-publique.fr/discours/272006-agnes-buzyn-21112019-plan-hopital-reforme-des-retraites-alcoolemie
62,272005,Interview,https://www.vie-publique.fr/discours/272005-muriel-penicaud-21112019-compte-formation-plan-hopital-retraites
63,272311,Déclaration,https://www.vie-publique.fr/discours/272311-franck-riester-21112019-droit-voisin-des-editeurs-et-agences-de-presse
